Date,Tweets,Clicks,Mentions,New Followers,Retweets,Received Messages,Received DM,Sent DM,Unique Users,Followers,Following,Twitter Potential Reach,New Fans,Unlikes,Page Impressions,Page Impressions (Paid),Page Impressions (Viral),Page Impressions (Organic),Page Impressions (Page Post),Page Impressions (Checkin),Page Impressions (Question),Page Impressions (Coupon),Page Impressions (User Post),Page Impressions (Mention),Page Impressions (Other),Page Impressions (Fan),Stories Created,Story Creators,Stories (Mention),Stories (Page Post),Stories (Checkin),Stories (Question),Stories (User Post),Stories (Coupon),Stories (Other),Stories (Fan)
12/28/2015,0,0,0,0,0,0,0,0,0,163,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/29/2015,3,10,1,1,1,1,0,0,1,163,67,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2015,2,1,0,0,0,0,0,0,0,163,67,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2015,2,2,0,0,0,0,0,0,0,163,71,326,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2016,1,0,0,0,0,0,0,0,0,163,71,163,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2016,0,0,0,0,0,0,0,0,0,163,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2016,0,0,0,0,0,0,0,0,0,163,71,0,0,0,39,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2016,2,1,0,1,0,0,0,0,0,163,72,326,0,0,25,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2016,1,0,0,0,0,0,0,0,0,162,72,163,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2016,0,0,0,0,0,0,0,0,0,162,72,0,0,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2016,0,0,0,0,0,0,0,0,0,162,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2016,0,0,0,0,0,0,0,0,0,162,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2016,0,0,0,0,0,0,0,0,0,162,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2016,0,0,0,0,0,0,0,0,0,162,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/2016,0,0,0,0,0,0,0,0,0,162,72,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
